Step,Link,Average Link Speed,Average Link Occupancy,Average Running Vehicles,Average Halting Vehicles,Average CO Emission,Average CO2 Emission,Average HC Emission,Average PMx Emission,Average NOx Emission,Average Fuel Consumption
1 - 50,gneE32,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE33,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE34,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE35,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE36,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE37,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE38,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE39,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE40,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE41,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE42,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE44,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE45,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE45-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE47,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE47-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE48,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE48-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE49,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE49-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE51,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE52,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE53,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE53-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE54,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE54-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE55,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE55-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE56,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE56-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE57,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE58,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE59,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE60,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE61,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE62,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE63,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE63-n,9.60416792400761,0.022346312607337628,8.9,0.36,427.974059003815,24935.41989945332,2.5281462897972604,0.4300681322354163,10.077188287379494,10.718728875713559
1 - 50,gneE64,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE64-n,9.798328020979351,0.022346312607337628,8.9,0.36,424.10373165233744,25236.09464937256,2.515562496099277,0.43438015072890956,10.18742861130997,10.847970583459022
1 - 50,gneE65,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE65-n,10.264168256567757,0.02229609617451215,8.88,0.36,430.58370816099915,25922.462172254352,2.563726650549857,0.45248830485167624,10.48848195784732,11.143000076279488
1 - 50,gneE66,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 50,gneE66-n,10.310990879124397,0.02229609617451215,8.88,0.36,444.86698004507895,26747.62230636245,2.651968355525572,0.4735317432779841,10.871242125823672,11.497692732541985
51 - 100,gneE32,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE33,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE34,13.3414621426657,0.011990262259133943,0.94,0.0,45.80551915613919,3502.1000602007716,0.29139890947910524,0.062440647571936035,1.4281871078450754,1.5053960203050736
51 - 100,gneE35,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE36,14.194604851723723,0.00217218159438129,0.12,0.0,2.761116882228863,395.7849954731873,0.021947181744214585,0.00623319328268058,0.1495157946441933,0.1701301251952041
51 - 100,gneE37,13.241736990584348,0.01267266879762835,1.0,0.0,47.48409740473235,3666.877500443112,0.30239733028824867,0.06502874490352242,1.4874727800120167,1.5762270713971793
51 - 100,gneE38,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE39,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE40,13.161277931311671,0.013168887409577643,1.06,0.0,58.33185689997881,4170.085858132377,0.36421598415618417,0.07819342930099454,1.7280305739097233,1.7925301930843458
51 - 100,gneE41,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE42,13.918243830038614,0.00036203026573021496,0.02,0.0,0.0,54.92749033123525,0.0007517123587734167,0.00041980616452772575,0.01722439444346852,0.023611179891400304
51 - 100,gneE44,13.248136006069966,0.01040114493956287,0.84,0.0,41.5734894980011,3249.742900067,0.2658882065585798,0.056152328680271,1.3107583592777161,1.3969212201122465
51 - 100,gneE45,13.853724194730537,0.000380112513303938,0.02,0.0,0.638258118123578,71.59203384958279,0.004545911738614081,0.0009308562924159311,0.0266958686439799,0.03077451079473488
51 - 100,gneE45-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE47,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE47-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE48,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE48-n,13.863076362987133,0.00021222410865874363,0.02,0.0,0.4133081545743314,64.02232855260144,0.003334691409924738,0.0007180052094373421,0.02288820248700249,0.02752066729075935
51 - 100,gneE49,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE49-n,13.66252036421389,0.007833067408971498,0.42,0.0,8.430186357588893,887.6202719628169,0.05821157841974555,0.013442738371761069,0.3418400824333333,0.3815494633357745
51 - 100,gneE51,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE52,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE53,13.776116967447008,0.003799806489517441,0.18,0.0,14.594754856190262,1015.5542561543396,0.09077020437953565,0.019914797554440113,0.42670910621452735,0.4365395753861605
51 - 100,gneE53-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE54,13.905996683581506,1.3038184039190569e-05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE54-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE55,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE55-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE56,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE56-n,13.920027324071992,0.003096130756906286,0.18,0.0,2.593594634509998,346.1029964348789,0.019887735228230872,0.005043720272063937,0.13049175830993762,0.14877460148292201
51 - 100,gneE57,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE58,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE59,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE60,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE61,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE62,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE63,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE63-n,11.660205757663855,0.061512378813026694,24.46,0.36,708.2171457831854,53880.30743887431,4.470946828135762,0.8432762988674797,21.101277923051203,23.160924624289873
51 - 100,gneE64,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE64-n,12.001443999148762,0.06094855526589875,24.24,0.36,722.7389382483948,56015.34519949126,4.583741834538701,0.8858417220780589,21.940195344250707,24.078668626120866
51 - 100,gneE65,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE65-n,12.053641282028014,0.06028240145682459,23.94,0.4,724.8354501624483,56700.997681119305,4.613146800210264,0.893859904982937,22.16271354012539,24.37340431261232
51 - 100,gneE66,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51 - 100,gneE66-n,12.223937946907887,0.05964055299637812,23.72,0.4,678.9471496806635,54782.21437909145,4.352312316976124,0.8546526917572923,21.34346107167958,23.548594406206803
101 - 150,gneE32,13.19078731958623,0.008389261744966441,0.64,0.0,10.069742480863196,1082.3880059850667,0.07080929919655461,0.015013068326704303,0.40972123617208306,0.46527360990128863
101 - 150,gneE33,13.679192038319723,0.03380669191898975,1.9,0.0,29.055837293494147,3322.265175392205,0.20880466967658257,0.04953511875840804,1.2685786223465234,1.4280978251599674
101 - 150,gneE34,9.58445455762852,0.06721921111824689,5.18,1.34,231.5750098374748,11076.05432551394,1.3131875582347252,0.20009355949903693,4.533970152434572,4.761169836810763
101 - 150,gneE35,13.231949220802653,0.015499601248062761,1.18,0.02,14.313249113613686,2096.073368178703,0.11355547943103808,0.02893636710934329,0.7768043749555542,0.9010121603073974
101 - 150,gneE36,13.439871787762863,0.031485471474458626,1.72,0.0,24.38457951566204,3157.276243082218,0.18319155489474714,0.044159204953471226,1.1826106877391487,1.3571783292037716
